iter	Passed	Remaining
199	1263	1895
200	1268	1886
201	1271	1875
202	1276	1867
203	1283	1862
204	1288	1853
205	1295	1848
206	1300	1840
207	1304	1831
208	1311	1826
209	1316	1817
210	1321	1809
211	1327	1802
212	1331	1794
213	1336	1785
214	1343	1780
215	1346	1771
216	1351	1762
217	1358	1756
218	1364	1750
219	1368	1742
220	1374	1735
221	1379	1727
222	1386	1721
223	1391	1714
224	1395	1705
225	1402	1700
226	1408	1694
227	1417	1690
228	1423	1685
229	1430	1678
230	1440	1677
231	1444	1669
232	1453	1665
233	1460	1660
234	1468	1656
235	1473	1648
236	1478	1640
237	1487	1637
238	1491	1629
239	1499	1624
240	1503	1616
241	1508	1608
242	1515	1602
243	1519	1594
244	1523	1585
245	1530	1580
246	1535	1573
247	1540	1565
248	1547	1560
249	1552	1552
250	1556	1544
251	1562	1537
252	1567	1529
253	1571	1522
254	1580	1518
255	1585	1511
256	1590	1504
257	1597	1498
258	1602	1490
259	1609	1485
260	1615	1479
261	1622	1474
262	1632	1470
263	1637	1463
264	1644	1458
265	1649	1451
266	1655	1444
267	1660	1437
268	1666	1431
269	1674	1426
270	1679	1419
271	1684	1412
272	1694	1408
273	1701	1403
274	1712	1400
275	1720	1396
276	1730	1393
277	1739	1389
278	1748	1385
279	1759	1382
280	1767	1377
281	1776	1373
282	1786	1369
283	1795	1365
284	1805	1361
285	1813	1357
286	1823	1353
287	1840	1354
288	1851	1351
289	1857	1345
290	1862	1337
291	1870	1332
292	1876	1325
293	1882	1318
294	1890	1313
295	1896	1307
296	1903	1301
297	1908	1293
298	1915	1287
299	1919	1279
300	1924	1272
301	1932	1267
302	1938	1260
303	1943	1253
304	1951	1247
305	1956	1240
306	1964	1235
307	1969	1227
308	1974	1220
309	1980	1214
310	1986	1207
311	1992	1200
312	1998	1193
313	2003	1186
314	2010	1180
315	2016	1174
316	2021	1167
317	2031	1162
318	2040	1157
319	2051	1153
320	2062	1149
321	2068	1143
322	2080	1140
323	2092	1136
324	2099	1130
325	2109	1125
326	2116	1119
327	2127	1115
328	2134	1109
329	2145	1105
330	2152	1099
331	2162	1094
332	2170	1088
333	2176	1081
334	2181	1074
335	2189	1068
336	2194	1061
337	2200	1054
338	2208	1048
339	2213	1041
340	2221	1035
341	2226	1028
342	2235	1023
343	2242	1017
344	2252	1012
345	2259	1005
346	2268	1000
347	2273	992
348	2277	985
349	2285	979
350	2289	972
351	2296	965
352	2301	958
353	2305	950
354	2311	944
355	2316	936
356	2321	929
357	2326	922
358	2333	916
359	2338	909
360	2345	902
361	2349	895
362	2354	888
363	2362	882
364	2367	875
365	2372	868
366	2379	862
367	2384	855
368	2390	848
369	2396	841
370	2401	834
371	2408	828
372	2414	822
373	2419	815
374	2429	809
375	2435	803
376	2444	797
377	2454	792
378	2465	786
379	2474	781
380	2482	775
381	2495	770
382	2501	764
383	2511	758
384	2516	751
385	2527	746
386	2534	740
387	2543	734
388	2553	728
389	2562	722
390	2578	718
391	2589	713
392	2594	706
393	2602	700
394	2609	693
395	2617	687
396	2622	680
397	2628	673
398	2635	667
399	2640	660
400	2649	654
401	2655	647
402	2660	640
403	2666	633
404	2671	626
405	2675	619
406	2682	612
407	2687	606
408	2693	599
409	2698	592
410	2703	585
411	2707	578
412	2714	571
413	2723	565
414	2730	559
415	2735	552
416	2742	545
417	2747	539
418	2752	532
419	2758	525
420	2763	518
421	2768	511
422	2775	505
423	2780	498
424	2785	491
425	2794	485
426	2800	478
427	2805	471
428	2820	466
429	2830	460
430	2840	454
431	2853	449
432	2863	443
433	2875	437
434	2887	431
435	2895	425
436	2907	419
437	2912	412
438	2920	405
439	2925	398
440	2932	392
441	2940	385
442	2946	379
443	2954	372
444	2959	365
445	2966	359
446	2971	352
447	2977	345
448	2986	339
449	2990	332
450	2998	325
451	3003	318
452	3008	312
453	3017	305
454	3022	298
455	3033	292
456	3040	286
457	3048	279
458	3054	272
459	3062	266
460	3069	259
461	3079	253
462	3083	246
463	3091	239
464	3098	233
465	3104	226
466	3112	219
467	3117	213
468	3125	206
469	3130	199
470	3136	193
471	3143	186
472	3149	179
473	3156	173
474	3161	166
475	3167	159
476	3173	153
477	3179	146
478	3184	139
479	3191	132
480	3198	126
481	3206	119
482	3212	113
483	3216	106
484	3224	99
485	3229	93
486	3235	86
487	3242	79
488	3247	73
489	3255	66
490	3261	59
491	3266	53
492	3271	46
493	3276	39
494	3280	33
495	3288	26
496	3293	19
497	3298	13
498	3305	6
499	3309	0
