iter	RMSE
189	38.01201917
190	38.00998538
191	38.0076554
192	38.00564354
193	38.00358555
194	37.99766501
195	37.99177949
196	37.98659634
197	37.98196918
198	37.97906935
199	37.97589749
200	37.97541303
201	37.9750322
202	37.96808392
203	37.96535614
204	37.96027501
205	37.95714424
206	37.95065945
207	37.94801994
208	37.944525
209	37.94214516
210	37.93573906
211	37.93488743
212	37.93196511
213	37.93045612
214	37.92784629
215	37.92692495
216	37.92427288
217	37.92254197
218	37.91802996
219	37.91540316
220	37.91331198
221	37.91207792
222	37.910204
223	37.906402
224	37.90578762
225	37.90232095
226	37.89896185
227	37.89589358
228	37.89377134
229	37.89234975
230	37.88871773
231	37.88749141
232	37.88599218
233	37.88174353
234	37.87934996
235	37.87133969
236	37.86895384
237	37.86591927
238	37.8646892
239	37.86338949
240	37.86091258
241	37.85715368
242	37.85503008
243	37.85372088
244	37.85225354
245	37.85023869
246	37.84879567
247	37.84678601
248	37.83961364
249	37.83815668
250	37.83721927
251	37.83607934
252	37.83484741
253	37.8290352
254	37.82581816
255	37.81955946
256	37.81583003
257	37.81457446
258	37.81355783
259	37.81257783
260	37.81146035
261	37.80750786
262	37.80395166
263	37.80145476
264	37.79656451
265	37.79565324
266	37.79064404
267	37.78873714
268	37.7861476
269	37.78525647
270	37.78411843
271	37.78325535
272	37.77885624
273	37.7778468
274	37.77702997
275	37.77265106
276	37.77173492
277	37.76956293
278	37.76827621
279	37.76459444
280	37.76219452
281	37.76051703
282	37.75778455
283	37.75565589
284	37.75404906
285	37.75269095
286	37.75115676
287	37.74938938
288	37.74861021
289	37.7478868
290	37.74631708
291	37.74556328
292	37.74251195
293	37.74167018
294	37.7395097
295	37.73879208
296	37.73809366
297	37.73572401
298	37.73514234
299	37.73443541
300	37.73231161
301	37.73170424
302	37.7309334
303	37.73021627
304	37.72951265
305	37.72714904
306	37.7230252
307	37.7224637
308	37.72151022
309	37.72091341
310	37.71937273
311	37.7175779
312	37.71621748
313	37.71581588
314	37.71195928
315	37.71082852
316	37.71035695
317	37.70966934
318	37.7076315
319	37.7041725
320	37.70351309
321	37.70074015
322	37.69775232
323	37.69733004
324	37.69546901
325	37.69444124
326	37.69287591
327	37.69011244
328	37.68974846
329	37.68845694
330	37.68777069
331	37.6869682
332	37.6863744
333	37.68605091
334	37.68423941
335	37.68212301
336	37.68161231
337	37.68130892
338	37.67951036
339	37.67666948
340	37.67585064
341	37.67529219
342	37.67489544
343	37.6718342
344	37.67076471
345	37.66980797
346	37.66925055
347	37.66883656
348	37.66692151
349	37.66665159
350	37.66511704
351	37.66382687
352	37.66341781
353	37.66316436
354	37.66223145
355	37.66195323
356	37.6596253
357	37.65941784
358	37.65881662
359	37.65858882
360	37.65837011
361	37.65795819
362	37.65725124
363	37.65453754
364	37.65431453
365	37.6541393
366	37.65299164
367	37.65171128
368	37.65154243
369	37.65083771
370	37.6495556
371	37.64937287
372	37.64916583
373	37.64868136
374	37.6477587
375	37.64588593
376	37.64533197
377	37.64380694
378	37.64363154
379	37.64124601
380	37.63901551
381	37.63818767
382	37.638039
383	37.63712307
384	37.63529071
385	37.63497584
386	37.63410692
387	37.63339711
388	37.63281565
389	37.63267502
390	37.63154243
391	37.63086422
392	37.62992175
393	37.62945593
394	37.62819799
395	37.62731252
396	37.62673078
397	37.62636786
398	37.62605761
399	37.62537799
400	37.62409916
401	37.62275557
402	37.62231344
403	37.62164416
404	37.62146226
405	37.62038811
406	37.61954747
407	37.61939063
408	37.61871758
409	37.61776376
410	37.61746457
411	37.61690466
412	37.61536338
413	37.61477262
414	37.61460064
415	37.61347342
416	37.6119823
417	37.611588
418	37.61144347
419	37.61117144
420	37.61064273
421	37.61050722
422	37.60999037
423	37.6098627
424	37.60854803
425	37.60812499
426	37.60761555
427	37.60722362
428	37.60702689
429	37.60553474
430	37.60415115
431	37.60404119
432	37.60390931
433	37.60340196
434	37.60276851
435	37.60264863
436	37.60202829
437	37.6006957
438	37.60005566
439	37.59946267
440	37.59869534
441	37.59816973
442	37.59794604
443	37.59665807
444	37.59655594
445	37.59612822
446	37.59568557
447	37.59395996
448	37.59386363
449	37.59375955
450	37.59340309
451	37.59264121
452	37.59215864
453	37.59204732
454	37.59194978
455	37.59054874
456	37.59018914
457	37.58949708
458	37.5888201
459	37.58866505
460	37.58857429
461	37.58742965
462	37.58695701
463	37.58667751
464	37.5865961
465	37.585491
466	37.58486185
467	37.5844636
468	37.58393217
469	37.58361038
470	37.58271644
471	37.58264649
472	37.5820749
473	37.58144503
474	37.58120769
475	37.58081895
476	37.58061039
477	37.58052893
478	37.57997069
479	37.57945438
480	37.57937583
481	37.57893837
482	37.57833284
483	37.57807048
484	37.57715261
485	37.57697933
486	37.57667377
487	37.57558514
488	37.57551321
489	37.57543272
490	37.57505905
491	37.5745536
492	37.57438687
493	37.57420741
494	37.57411841
495	37.57373268
496	37.57357135
497	37.57350471
498	37.57283236
499	37.57263554
